id,key,value,type
245711024,source,AND,regular
245711197,ele,53,regular
245711197,name,Ahmedabad,regular
245711197,place,city,regular
245711197,capital,5,regular
245711197,de,Ahmedabad,name
245711197,en,Ahmedabad,name
245711197,gu,અમદાવાદ,name
245711197,hi,अहमदाबाद,name
245711197,ja,アフマダーバード,name
245711197,kn,ಅಹ್ಮದಾಬಾದ್,name
245711197,pl,Ahmadabad,name
245711197,ru,Ахмадабад,name
245711197,ta,அகமதாபாத்,name
245711197,uk,Ахмедабад,name
245711197,zh,艾哈迈达巴德,name
245711197,int_name,Ahmedabad,regular
245711197,wikidata,Q1070,regular
245711197,cca,a,place
245711197,wikipedia,en:Ahmedabad,regular
245711197,population,6352254,regular
245711197,postal_code,380001,regular
245711197,continent,Asia,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711252,source,AND,regular
245711347,source,AND,regular
245711438,source,AND,regular
245711443,source,AND,regular
245711446,source,AND,regular
245711465,source,AND,regular
245711479,source,AND,regular
245711482,source,AND,regular
245711489,source,AND,regular
245711515,source,AND,regular
245711520,source,AND,regular
245711523,source,AND,regular
245711530,source,AND,regular
245711551,source,AND,regular
245711883,source,AND,regular
245712036,source,AND,regular
245712114,source,AND,regular
322633904,railway,level_crossing,regular
322645590,railway,level_crossing,regular
322645708,railway,level_crossing,regular
322702345,power,tower,regular
322702348,power,tower,regular
322702356,power,tower,regular
322702359,power,tower,regular
322702388,power,tower,regular
322702410,power,tower,regular
322702454,power,tower,regular
322702466,power,tower,regular
322702476,power,tower,regular
322702617,power,tower,regular
322702618,power,tower,regular
322702620,power,tower,regular
322702634,power,tower,regular
322702635,power,tower,regular
322702638,power,tower,regular
322702639,power,tower,regular
322702645,power,tower,regular
322702646,power,tower,regular
322702650,power,tower,regular
322702653,power,tower,regular
322702657,power,tower,regular
322702745,power,tower,regular
322702757,power,tower,regular
322702763,power,tower,regular
322702764,power,tower,regular
322702769,power,tower,regular
322702770,power,tower,regular
322702774,power,tower,regular
322702973,power,tower,regular
322702974,power,tower,regular
322703030,power,tower,regular
322703039,power,tower,regular
322703047,power,tower,regular
322703048,power,tower,regular
322703055,power,tower,regular
322703058,power,tower,regular
322703060,power,tower,regular
322703063,power,tower,regular
322703073,power,tower,regular
322703074,power,tower,regular
322703082,power,tower,regular
322703092,power,tower,regular
322703118,power,tower,regular
322703122,power,tower,regular
322703142,power,tower,regular
322703290,power,tower,regular
322703291,power,tower,regular
322703296,power,tower,regular
322703304,power,tower,regular
322703305,power,tower,regular
322703307,power,tower,regular
322703378,power,tower,regular
322703445,power,tower,regular
322703470,power,tower,regular
322703500,power,tower,regular
322703504,power,tower,regular
322703509,power,tower,regular
322703510,power,tower,regular
322703512,power,tower,regular
322704090,power,tower,regular
322704094,power,tower,regular
322704746,power,tower,regular
322704748,power,tower,regular
322704781,power,tower,regular
322704782,power,tower,regular
322704784,power,tower,regular
322704809,power,tower,regular
322704868,power,tower,regular
322704875,power,tower,regular
322704881,power,tower,regular
322704965,power,tower,regular
322704976,power,tower,regular
322705019,power,tower,regular
322705061,power,tower,regular
322705065,power,tower,regular
322705083,power,tower,regular
322705090,power,tower,regular
322705114,power,tower,regular
322705116,power,tower,regular
322705128,power,tower,regular
322705212,power,tower,regular
322705215,power,tower,regular
322705219,power,tower,regular
322705235,power,tower,regular
322705236,power,tower,regular
322705239,power,tower,regular
322705242,power,tower,regular
322705356,power,tower,regular
322705363,power,tower,regular
322705384,power,tower,regular
322705490,power,tower,regular
322705493,power,tower,regular
322705521,power,tower,regular
322705607,power,tower,regular
322705615,power,tower,regular
322705621,power,tower,regular
322705649,power,tower,regular
322705673,power,tower,regular
322705679,power,tower,regular
322705682,power,tower,regular
322705843,power,tower,regular
322705851,power,tower,regular
322705876,power,tower,regular
322705944,power,tower,regular
322705945,power,tower,regular
322705950,power,tower,regular
322705978,power,tower,regular
322705990,power,tower,regular
322706025,power,tower,regular
322706244,power,tower,regular
322706258,power,tower,regular
322706333,power,tower,regular
322706365,power,tower,regular
322706386,power,tower,regular
322706420,power,tower,regular
322706473,power,tower,regular
322706475,power,tower,regular
322706476,power,tower,regular
322706526,power,tower,regular
322706532,power,tower,regular
322706533,power,tower,regular
322706541,power,tower,regular
322706545,power,tower,regular
322706557,power,tower,regular
322706560,power,tower,regular
322706567,power,tower,regular
322706589,power,tower,regular
322706602,power,tower,regular
322706604,power,tower,regular
322706605,power,tower,regular
322706609,power,tower,regular
322706610,power,tower,regular
322706621,power,tower,regular
322706625,power,tower,regular
322706626,power,tower,regular
322706628,power,tower,regular
322706631,power,tower,regular
322706643,power,tower,regular
322706644,power,tower,regular
322706646,power,tower,regular
322706647,power,tower,regular
322706740,power,tower,regular
322706964,power,tower,regular
322707008,power,tower,regular
322707023,power,tower,regular
322707026,power,tower,regular
322707027,power,tower,regular
322707030,power,tower,regular
322707031,power,tower,regular
322710548,power,tower,regular
322710560,power,tower,regular
322710634,power,tower,regular
322710635,power,tower,regular
322710640,power,tower,regular
322710641,power,tower,regular
322710643,power,tower,regular
322710644,power,tower,regular
322710645,power,tower,regular
322710646,power,tower,regular
322710647,power,tower,regular
322710648,power,tower,regular
322710649,power,tower,regular
322710650,power,tower,regular
322710659,power,tower,regular
322710731,power,tower,regular
322710766,power,tower,regular
322710868,power,tower,regular
322710880,power,tower,regular
322710899,power,tower,regular
322710900,power,tower,regular
322710901,power,tower,regular
322710934,power,tower,regular
322710975,power,tower,regular
322710978,power,tower,regular
322710986,power,tower,regular
322710993,power,tower,regular
322711028,power,tower,regular
322711048,power,tower,regular
322711049,power,tower,regular
322711051,power,tower,regular
322711052,power,tower,regular
322711053,power,tower,regular
322711056,power,tower,regular
322711130,power,tower,regular
322711148,power,tower,regular
322711150,power,tower,regular
322711182,power,tower,regular
322711186,power,tower,regular
322711190,power,tower,regular
322711197,power,tower,regular
322711198,power,tower,regular
322711200,power,tower,regular
322715478,power,tower,regular
322715692,power,tower,regular
322716780,power,tower,regular
322716781,power,tower,regular
322716788,power,tower,regular
322716789,power,tower,regular
322716898,power,tower,regular
322716911,power,tower,regular
322716922,power,tower,regular
322716935,power,tower,regular
322717001,power,tower,regular
322717008,power,tower,regular
322717009,power,tower,regular
322717010,power,tower,regular
322717027,power,tower,regular
322717030,power,tower,regular
322717085,power,tower,regular
322717086,power,tower,regular
322717145,power,tower,regular
322717146,power,tower,regular
322717491,power,tower,regular
322717492,power,tower,regular
322717501,power,tower,regular
322717576,power,tower,regular
322717577,power,tower,regular
322717628,power,tower,regular
322717690,power,tower,regular
322717730,power,tower,regular
322717819,power,tower,regular
322717929,power,tower,regular
322717984,power,tower,regular
322718009,power,tower,regular
322718011,power,tower,regular
322718015,power,tower,regular
322718084,power,tower,regular
322718085,power,tower,regular
322718271,power,tower,regular
322718272,power,tower,regular
322718294,power,tower,regular
322718295,power,tower,regular
322718296,power,tower,regular
322718325,power,tower,regular
322718326,power,tower,regular
322718328,power,tower,regular
322718390,power,tower,regular
322718520,power,tower,regular
322718723,power,tower,regular
322718724,power,tower,regular
322718725,power,tower,regular
322718726,power,tower,regular
322718729,power,tower,regular
322718730,power,tower,regular
322718731,power,tower,regular
322718732,power,tower,regular
322718733,power,tower,regular
322718734,power,tower,regular
322718735,power,tower,regular
322718736,power,tower,regular
322718748,power,tower,regular
322718777,power,tower,regular
322718790,power,tower,regular
322718793,power,tower,regular
322718796,power,tower,regular
322718822,power,tower,regular
322718864,power,tower,regular
322718871,power,tower,regular
322718876,power,tower,regular
322718903,power,tower,regular
322719262,power,tower,regular
322719275,power,tower,regular
322719390,power,tower,regular
322719444,power,tower,regular
322719466,power,tower,regular
322719467,power,tower,regular
322719468,power,tower,regular
322719966,power,tower,regular
322719985,power,tower,regular
322719986,power,tower,regular
322720004,power,tower,regular
322720043,power,tower,regular
322720072,power,tower,regular
322720078,power,tower,regular
322720081,power,tower,regular
322720082,power,tower,regular
322720084,power,tower,regular
322720085,power,tower,regular
322720088,power,tower,regular
322720100,power,tower,regular
322720129,power,tower,regular
322720138,power,tower,regular
322720139,power,tower,regular
322720141,power,tower,regular
322720156,power,tower,regular
322720158,power,tower,regular
322720197,power,tower,regular
322720209,power,tower,regular
322720210,power,tower,regular
322720574,power,tower,regular
322720575,power,tower,regular
322720581,power,tower,regular
322720585,power,tower,regular
322720586,power,tower,regular
322720613,power,tower,regular
322720614,power,tower,regular
322720616,power,tower,regular
322720617,power,tower,regular
322720618,power,tower,regular
322720620,power,tower,regular
322720621,power,tower,regular
322720659,power,tower,regular
322720666,power,tower,regular
322720669,power,tower,regular
322720671,power,tower,regular
322720680,power,tower,regular
322720682,power,tower,regular
322720684,power,tower,regular
322720688,power,tower,regular
322720690,power,tower,regular
322720701,power,tower,regular
322720737,power,tower,regular
322720780,power,tower,regular
