id,key,value,type
22826379,landuse,residential,regular
22866823,ref,SH17,regular
22866823,oneway,yes,regular
22866823,highway,primary,regular
22867000,name,Naroda Road,regular
22867000,oneway,yes,regular
22867000,highway,primary,regular
22867000,motorroad,no,regular
22867003,name,Naroda Road,regular
22867003,oneway,yes,regular
22867003,highway,primary,regular
22867003,motorroad,no,regular
28842671,ref,NE1,regular
28842671,name,Ahmadabad Vadodara Expressway,regular
28842671,oneway,yes,regular
28842671,highway,motorway,regular
28842671,maxspeed,100,regular
28842695,ref,NE1,regular
28842695,name,Ahmadabad Vadodara Expressway,regular
28842695,oneway,yes,regular
28842695,highway,motorway,regular
28842695,maxspeed,100,regular
29325213,ref,SH3,regular
29325213,highway,primary,regular
29325449,ref,SH3,regular
29325449,bridge,yes,regular
29325449,highway,primary,regular
29325449,created_by,Potlatch 0.10f,regular
29325450,ref,SH3,regular
29325450,highway,primary,regular
29325772,gauge,1676,regular
29325772,usage,main,regular
29325772,railway,rail,regular
29325772,voltage,25000,regular
29325772,frequency,50,regular
29325772,electrified,contact_line,regular
29325772,passenger_lines,2,regular
29325773,gauge,1676,regular
29325773,usage,main,regular
29325773,bridge,yes,regular
29325773,railway,rail,regular
29325773,voltage,25000,regular
29325773,frequency,50,regular
29325773,electrified,contact_line,regular
29325773,passenger_lines,2,regular
29325774,name,Western Railway Line,regular
29325774,gauge,1676,regular
29325774,usage,main,regular
29325774,railway,rail,regular
29325774,voltage,25000,regular
29325774,frequency,50,regular
29325774,electrified,contact_line,regular
29326646,highway,tertiary,regular
29326844,highway,tertiary,regular
29326844,created_by,Potlatch 0.10f,regular
29327676,ref,SH144,regular
29327676,highway,primary,regular
29327681,railway,rail,regular
29327681,created_by,Potlatch 0.10f,regular
29327876,highway,tertiary,regular
29328587,name,Narmada Canal,regular
29328587,natural,water,regular
29328587,waterway,canal,regular
29329061,name,Narmada Canal,regular
29329061,natural,water,regular
29329061,waterway,canal,regular
29329273,name,Narmada Canal,regular
29329273,natural,water,regular
29329273,waterway,canal,regular
29329527,name,Narmada Canal,regular
29329527,natural,water,regular
29329527,waterway,riverbank,regular
29329538,name,Narmada Canal,regular
29329538,natural,water,regular
29329538,waterway,canal,regular
29333858,power,line,regular
29333858,cables,3,regular
29333858,voltage,132000,regular
29333959,name,Ranasan,regular
29333959,power,substation,regular
29334132,power,line,regular
29334132,cables,6,regular
29334132,voltage,132000,regular
29334401,power,line,regular
29334401,cables,6,regular
29334401,voltage,220000,regular
29335208,power,line,regular
29335208,cables,6,regular
29335208,voltage,220000,regular
29335234,power,line,regular
29335333,power,line,regular
29335333,cables,3,regular
29335333,voltage,132000,regular
29335435,power,line,regular
29335435,cables,3,regular
29335435,voltage,132000,regular
29335685,power,line,regular
29335685,cables,3,regular
29335685,voltage,132000,regular
29335765,power,line,regular
29335765,cables,3,regular
29335765,voltage,132000,regular
29339784,ref,SH2,regular
29339784,name,Rakhial Odhav Road,regular
29339784,layer,1,regular
29339784,bridge,yes,regular
29339784,oneway,-1,regular
29339784,highway,primary,regular
29340083,ref,SH68,regular
29340083,highway,primary,regular
29340135,ref,SH68,regular
29340135,highway,primary,regular
29340141,ref,SH68,regular
29340141,bridge,yes,regular
29340141,highway,primary,regular
29340300,highway,primary,regular
29340300,new,N 48,ref
29340300,motorroad,no,regular
29340465,name,Kankaria Lake,regular
29340465,natural,water,regular
29340465,water,lake,regular
29340465,wikidata,Q16384,regular
29340478,highway,pedestrian,regular
29340478,created_by,Potlatch 0.10f,regular
29340509,layer,1,regular
29340509,bridge,yes,regular
29340509,railway,construction,regular
29340509,electrified,no,regular
29340509,construction,rail,regular
29340509,gauge,1000,historic
29340509,passenger_lines,1,regular
29340510,railway,construction,regular
29340510,electrified,no,regular
29340510,construction,rail,regular
29340510,gauge,1000,historic
29340510,passenger_lines,1,regular
29340511,layer,1,regular
29340511,bridge,yes,regular
29340511,railway,construction,regular
29340511,electrified,no,regular
29340511,construction,rail,regular
29340511,gauge,1000,historic
29340511,passenger_lines,1,regular
29340512,railway,construction,regular
29340512,electrified,no,regular
29340512,construction,rail,regular
29340512,gauge,1000,historic
29340512,passenger_lines,1,regular
29349715,waterway,riverbank,regular
29349768,natural,water,regular
29349855,name,Sabarmati,regular
29349855,natural,water,regular
29349855,waterway,riverbank,regular
29350057,waterway,riverbank,regular
29350773,waterway,riverbank,regular
29351171,name,Sabarmati,regular
29351171,natural,water,regular
29351171,waterway,riverbank,regular
29351360,ref,SH142,regular
29351360,highway,primary,regular
